;x,z,nmann,xutm,yutm,AngMd,AngMi,Q
9800.000,-2.934,0.030,765116.186,4150274.358,1.675,-1.467,20.000
9850.000,-2.968,0.030,765066.697,4150269.185,1.839,-1.302,20.000
9900.000,-2.995,0.030,765018.552,4150255.931,1.884,-1.258,20.000
9950.000,-3.011,0.030,764970.982,4150240.536,1.884,-1.258,20.000
10000.000,-3.015,0.030,764923.411,4150225.141,1.921,-1.221,20.000
10050.000,-3.021,0.030,764876.448,4150207.995,2.468,-0.674,20.000
10100.000,-3.030,0.030,764845.380,4150169.088,2.483,-0.659,20.000
10150.000,-3.045,0.030,764814.778,4150129.547,2.483,-0.659,20.000
10200.000,-3.064,0.030,764784.176,4150090.005,2.537,-0.605,20.000
10250.000,-3.082,0.030,764755.817,4150048.980,2.702,-0.439,20.000
10300.000,-3.091,0.030,764734.622,4150003.852,2.806,-0.336,20.000
10350.000,-3.091,0.030,764718.150,4149956.654,2.869,-0.273,20.000
10400.000,-3.083,0.030,764704.675,4149908.530,2.891,-0.251,20.000
10450.000,-3.070,0.030,764692.272,4149860.093,3.075,-0.067,20.000
10500.000,-3.054,0.030,764688.933,4149810.336,3.111,-0.030,20.000
10550.000,-3.034,0.030,764687.420,4149760.365,-3.105,0.036,20.000
10600.000,-3.012,0.030,764689.235,4149710.405,-3.067,0.074,20.000
10650.000,-2.989,0.030,764692.953,4149660.543,-3.067,0.074,20.000
10700.000,-2.965,0.030,764696.670,4149610.682,-3.052,0.090,20.000
10750.000,-2.942,0.030,764701.161,4149560.891,-3.015,0.126,20.000
10800.000,-2.912,0.030,764707.462,4149511.296,-3.001,0.141,20.000
10850.000,-2.872,0.030,764714.477,4149461.791,-3.001,0.141,20.000
10900.000,-2.821,0.030,764721.492,4149412.285,-2.989,0.153,20.000
10950.000,-2.769,0.030,764729.087,4149362.866,-2.875,0.267,20.000
11000.000,-2.726,0.030,764742.277,4149314.656,-2.868,0.273,20.000
11050.000,-2.692,0.030,764755.780,4149266.513,-2.868,0.273,20.000
11100.000,-2.653,0.030,764769.283,4149218.371,-2.853,0.289,20.000
11150.000,-2.609,0.030,764783.530,4149170.457,-2.813,0.328,20.000
11200.000,-2.560,0.030,764799.655,4149123.131,-2.802,0.340,20.000
11250.000,-2.508,0.030,764816.320,4149075.990,-2.802,0.340,20.000
11300.000,-2.458,0.030,764832.985,4149028.849,-2.802,0.340,20.000
11350.000,-2.418,0.030,764849.651,4148981.708,-2.802,0.340,20.000
11400.000,-2.388,0.030,764866.316,4148934.567,-2.802,0.340,20.000
11450.000,-2.369,0.030,764882.981,4148887.426,-2.812,0.330,20.000
11500.000,-2.355,0.030,764899.169,4148840.138,-2.888,0.254,20.000
11550.000,-2.345,0.030,764911.731,4148791.743,-2.903,0.238,20.000
11600.000,-2.341,0.030,764923.533,4148743.156,-2.903,0.238,20.000
11650.000,-2.341,0.030,764935.336,4148694.569,-2.903,0.238,20.000
11700.000,-2.341,0.030,764947.138,4148645.982,-2.903,0.238,20.000
11750.000,-2.341,0.030,764958.941,4148597.395,-2.903,0.238,20.000
11800.000,-2.340,0.030,764970.743,4148548.808,-2.903,0.238,20.000
11850.000,-2.347,0.030,764982.546,4148500.221,-2.904,0.237,20.000
11900.000,-2.364,0.030,764994.303,4148451.627,-3.073,0.069,20.000
11950.000,-2.389,0.030,764997.745,4148401.749,-3.106,0.035,20.000
12000.000,-2.415,0.030,764999.509,4148351.780,-3.106,0.035,20.000
12050.000,-2.438,0.030,765001.273,4148301.811,-3.106,0.035,20.000
12100.000,-2.459,0.030,765003.037,4148251.842,-3.106,0.035,20.000
12150.000,-2.481,0.030,765004.801,4148201.873,-3.106,0.035,20.000
12200.000,-2.501,0.030,765006.564,4148151.904,-3.106,0.035,20.000
12250.000,-2.519,0.030,765008.328,4148101.936,-3.106,0.035,20.000
12300.000,-2.534,0.030,765010.092,4148051.967,3.102,-0.039,20.000
12350.000,-2.548,0.030,765008.121,4148002.023,3.076,-0.066,20.000
12400.000,-2.558,0.030,765004.822,4147952.132,3.075,-0.066,20.000
12450.000,-2.563,0.030,765001.513,4147902.241,3.075,-0.066,20.000
12500.000,-2.562,0.030,764998.204,4147852.351,3.075,-0.066,20.000
12550.000,-2.556,0.030,764994.896,4147802.461,3.067,-0.074,20.000
12600.000,-2.544,0.030,764991.192,4147752.600,3.057,-0.085,20.000
12650.000,-2.542,0.030,764986.961,4147702.779,3.055,-0.086,20.000
12700.000,-2.559,0.030,764982.658,4147652.964,3.055,-0.086,20.000
12750.000,-2.595,0.030,764978.356,4147603.150,3.041,-0.100,20.000
12800.000,-2.653,0.030,764973.347,4147553.402,3.016,-0.125,20.000
12850.000,-2.731,0.030,764967.097,4147503.795,3.016,-0.126,20.000
12900.000,-2.826,0.030,764960.812,4147454.191,3.016,-0.126,20.000
12950.000,-2.925,0.030,764954.527,4147404.588,3.008,-0.133,20.000
13000.000,-3.010,0.030,764947.889,4147355.033,2.996,-0.146,20.000
13050.000,-3.088,0.030,764940.623,4147305.564,2.996,-0.146,20.000
13100.000,-3.159,0.030,764933.350,4147256.095,2.996,-0.146,20.000
13150.000,-3.223,0.030,764926.077,4147206.627,2.996,-0.146,20.000
13200.000,-3.285,0.030,764918.804,4147157.159,2.996,-0.146,20.000
13250.000,-3.348,0.030,764911.531,4147107.691,2.996,-0.146,20.000
13300.000,-3.412,0.030,764904.257,4147058.223,2.996,-0.146,20.000
13350.000,-3.465,0.030,764896.984,4147008.754,2.996,-0.146,20.000
13400.000,-3.468,0.030,764889.711,4146959.286,2.996,-0.146,20.000
13450.000,-3.423,0.030,764882.438,4146909.818,2.996,-0.146,20.000
13500.000,-3.356,0.030,764875.165,4146860.350,2.996,-0.146,20.000
13550.000,-3.293,0.030,764867.892,4146810.882,2.996,-0.146,20.000
13600.000,-3.234,0.030,764860.619,4146761.413,2.996,-0.146,20.000
13650.000,-3.178,0.030,764853.346,4146711.945,2.996,-0.146,20.000
13700.000,-3.109,0.030,764846.073,4146662.477,2.996,-0.146,20.000
13750.000,-3.020,0.030,764838.800,4146613.009,2.996,-0.146,20.000
13800.000,-2.910,0.030,764831.527,4146563.541,2.996,-0.146,20.000
13850.000,-2.778,0.030,764824.254,4146514.072,2.996,-0.146,20.000
13900.000,-2.626,0.030,764816.981,4146464.604,2.996,-0.146,20.000
13950.000,-2.453,0.030,764809.708,4146415.136,2.996,-0.146,20.000
14000.000,-2.270,0.030,764802.435,4146365.668,2.996,-0.146,20.000
14050.000,-2.096,0.030,764795.162,4146316.200,2.996,-0.146,20.000
14100.000,-1.933,0.030,764787.889,4146266.731,2.996,-0.146,20.000
14150.000,-1.779,0.030,764780.616,4146217.263,2.996,-0.146,20.000
14200.000,-1.636,0.030,764773.343,4146167.795,2.996,-0.146,20.000
14250.000,-1.494,0.030,764766.070,4146118.327,2.996,-0.146,20.000
14300.000,-1.352,0.030,764758.797,4146068.859,2.996,-0.146,20.000
14350.000,-1.210,0.030,764751.524,4146019.390,2.996,-0.146,20.000
14400.000,-1.079,0.030,764744.251,4145969.922,2.996,-0.146,20.000
14450.000,-0.998,0.030,764736.978,4145920.454,2.996,-0.146,20.000
14500.000,-0.967,0.030,764729.705,4145870.986,2.996,-0.146,20.000
14550.000,-0.960,0.030,764722.432,4145821.518,2.996,-0.146,20.000
14600.000,-0.953,0.030,764715.159,4145772.049,2.996,-0.146,20.000
14650.000,-0.946,0.030,764707.886,4145722.581,2.996,-0.146,20.000
14700.000,-0.939,0.030,764700.613,4145673.113,2.996,-0.146,20.000
14750.000,-0.932,0.030,764693.340,4145623.645,2.996,-0.146,20.000
14800.000,-0.926,0.030,764686.067,4145574.177,2.996,-0.146,20.000
14850.000,-0.919,0.030,764678.794,4145524.708,2.996,-0.146,20.000
14900.000,-0.912,0.030,764671.521,4145475.240,2.996,-0.146,20.000
14950.000,-0.905,0.030,764664.248,4145425.772,2.996,-0.146,20.000
15000.000,-0.898,0.030,764656.975,4145376.304,2.995,-0.146,20.000
15050.000,-0.891,0.030,764649.686,4145326.838,2.988,-0.154,20.000
15100.000,-0.884,0.030,764642.032,4145277.427,2.985,-0.156,20.000
15150.000,-0.878,0.030,764634.258,4145228.035,2.978,-0.164,20.000
15200.000,-0.872,0.030,764626.115,4145178.703,2.978,-0.164,20.000
15250.000,-0.868,0.030,764617.971,4145129.371,2.978,-0.164,20.000
15300.000,-0.865,0.030,764609.828,4145080.038,2.978,-0.164,20.000
15350.000,-0.864,0.030,764601.684,4145030.706,2.978,-0.164,20.000
15400.000,-0.863,0.030,764593.541,4144981.374,2.978,-0.164,20.000
15450.000,-0.864,0.030,764585.397,4144932.041,2.978,-0.164,20.000
15500.000,-0.866,0.030,764577.253,4144882.709,2.978,-0.164,20.000
15550.000,-0.869,0.030,764569.110,4144833.377,2.978,-0.164,20.000
15600.000,-0.874,0.030,764560.966,4144784.044,2.978,-0.164,20.000
15650.000,-0.880,0.030,764552.823,4144734.712,2.978,-0.164,20.000
15700.000,-0.887,0.030,764544.679,4144685.379,2.978,-0.164,20.000
