;time, elevation
1944000.000, 0.070
1947600.000, 0.140
1951200.000, 0.160
1954800.000, 0.130
1958400.000, 0.060
1962000.000, -0.030
1965600.000, -0.090
1969200.000, -0.120
1972800.000, -0.100
1976400.000, -0.060
1980000.000, 0.000
1983600.000, 0.070
1987200.000, 0.150
1990800.000, 0.200
1994400.000, 0.210
1998000.000, 0.160
2001600.000, 0.070
2005200.000, -0.040
2008800.000, -0.150
2012400.000, -0.210
2016000.000, -0.230
2019600.000, -0.210
2023200.000, -0.150
2026800.000, -0.070
2030400.000, 0.020
2034000.000, 0.110
2037600.000, 0.160
2041200.000, 0.170
2044800.000, 0.120
2048400.000, 0.040
2052000.000, -0.050
2055600.000, -0.110
2059200.000, -0.130
2062800.000, -0.100
2066400.000, -0.050
2070000.000, 0.020
2073600.000, 0.100
2077200.000, 0.170
2080800.000, 0.210
2084400.000, 0.210
2088000.000, 0.140
2091600.000, 0.040
2095200.000, -0.080
2098800.000, -0.180
2102400.000, -0.240
2106000.000, -0.240
2109600.000, -0.200
2113200.000, -0.120
2116800.000, -0.030
2120400.000, 0.060
2124000.000, 0.140
2127600.000, 0.180
2131200.000, 0.170
2134800.000, 0.100
2138400.000, 0.010
2142000.000, -0.070
2145600.000, -0.130
2149200.000, -0.130
2152800.000, -0.090
2156400.000, -0.030
2160000.000, 0.040
2163600.000, 0.120
2167200.000, 0.180
2170800.000, 0.210
2174400.000, 0.190
2178000.000, 0.120
2181600.000, 0.000
2185200.000, -0.120
2188800.000, -0.210
2192400.000, -0.250
2196000.000, -0.230
2199600.000, -0.170
2203200.000, -0.090
2206800.000, -0.000
2210400.000, 0.090
2214000.000, 0.160
2217600.000, 0.190
2221200.000, 0.160
2224800.000, 0.080
2228400.000, -0.010
2232000.000, -0.090
2235600.000, -0.130
2239200.000, -0.130
2242800.000, -0.080
2246400.000, -0.150
2250000.000, -0.090
2253600.000, -0.030
2257200.000, 0.040
2260800.000, 0.100
2264400.000, 0.140
2268000.000, 0.140
2271600.000, 0.090
2275200.000, 0.020
2278800.000, -0.050
2282400.000, -0.090
2286000.000, -0.090
2289600.000, -0.050
2293200.000, -0.010
2296800.000, 0.040
2300400.000, 0.080
2304000.000, 0.120
2307600.000, 0.140
2311200.000, 0.140
2314800.000, 0.090
2318400.000, 0.010
2322000.000, -0.080
2325600.000, -0.150
2329200.000, -0.170
2332800.000, -0.160
2336400.000, -0.120
2340000.000, -0.070
2343600.000, -0.020
2347200.000, 0.030
2350800.000, 0.080
2354400.000, 0.110
2358000.000, 0.110
2361600.000, 0.070
2365200.000, 0.010
2368800.000, -0.040
2372400.000, -0.070
2376000.000, -0.060
2379600.000, -0.030
2383200.000, 0.010
2386800.000, 0.040
2390400.000, 0.060
2394000.000, 0.090
2397600.000, 0.110
2401200.000, 0.110
2404800.000, 0.060
2408400.000, -0.010
2412000.000, -0.080
2415600.000, -0.130
